Пушкин	Жених	1825
Пушкин	О попе и о работнике его Балде	1830
Пушкин	О медведихе	1830
Пушкин	О царе Салтане, о сыне его славном 	1831
Пушкин	О рыбаке и рыбке	1833
Пушкин	О мёртвой царевне и о семи богатырях	1833
Пушкин	О золотом петушке	1834
